message , duration
PSTART 12-11-2020 23:10:21 PSTOP , 1884
PSTART 12-11-2020 23:10:23 PSTOP , 1530
PSTART 12-11-2020 23:10:24 PSTOP , 1890
PSTART 12-11-2020 23:10:26 PSTOP , 1539
PSTART 12-11-2020 23:10:27 PSTOP , 1188
PSTART 12-11-2020 23:10:29 PSTOP , 1477
PSTART 12-11-2020 23:10:30 PSTOP , 1713
PSTART 12-11-2020 23:10:32 PSTOP , 1314
PSTART 12-11-2020 23:10:33 PSTOP , 1412
PSTART 12-11-2020 23:10:35 PSTOP , 1640
PSTART 12-11-2020 23:10:37 PSTOP , 2161
PSTART 12-11-2020 23:10:38 PSTOP , 1317
PSTART 12-11-2020 23:10:39 PSTOP , 1164
PSTART 12-11-2020 23:10:42 PSTOP , 2288
PSTART 12-11-2020 23:10:43 PSTOP , 1704
PSTART 12-11-2020 23:10:45 PSTOP , 1534
PSTART 12-11-2020 23:10:46 PSTOP , 1406
PSTART 12-11-2020 23:10:48 PSTOP , 1726
PSTART 12-11-2020 23:10:50 PSTOP , 1722
PSTART 12-11-2020 23:10:52 PSTOP , 2011
PSTART 12-11-2020 23:10:53 PSTOP , 1337
PSTART 12-11-2020 23:10:54 PSTOP , 1362
PSTART 12-11-2020 23:10:56 PSTOP , 1809
PSTART 12-11-2020 23:10:58 PSTOP , 1676
PSTART 12-11-2020 23:11:00 PSTOP , 1748
PSTART 12-11-2020 23:11:01 PSTOP , 1713
PSTART 12-11-2020 23:11:03 PSTOP , 1722
PSTART 12-11-2020 23:11:05 PSTOP , 1517
PSTART 12-11-2020 23:11:06 PSTOP , 1053
PSTART 12-11-2020 23:11:07 PSTOP , 1796
PSTART 12-11-2020 23:11:09 PSTOP , 1210
PSTART 12-11-2020 23:11:10 PSTOP , 1402
PSTART 12-11-2020 23:11:11 PSTOP , 1279
PSTART 12-11-2020 23:11:13 PSTOP , 1934
PSTART 12-11-2020 23:11:15 PSTOP , 2083
PSTART 12-11-2020 23:11:17 PSTOP , 1870
PSTART 12-11-2020 23:11:20 PSTOP , 2369
PSTART 12-11-2020 23:11:21 PSTOP , 1664
PSTART 12-11-2020 23:11:23 PSTOP , 1774
PSTART 12-11-2020 23:11:25 PSTOP , 1760
PSTART 12-11-2020 23:11:26 PSTOP , 1114
PSTART 12-11-2020 23:11:28 PSTOP , 2039
PSTART 12-11-2020 23:11:30 PSTOP , 1782
PSTART 12-11-2020 23:11:32 PSTOP , 2214
PSTART 12-11-2020 23:11:33 PSTOP , 1464
PSTART 12-11-2020 23:11:35 PSTOP , 1568
PSTART 12-11-2020 23:11:36 PSTOP , 1112
PSTART 12-11-2020 23:11:38 PSTOP , 1548
PSTART 12-11-2020 23:11:39 PSTOP , 1407
PSTART 12-11-2020 23:11:41 PSTOP , 1927
PSTART 12-11-2020 23:11:42 PSTOP , 1095
PSTART 12-11-2020 23:11:44 PSTOP , 1604
PSTART 12-11-2020 23:11:45 PSTOP , 1581
PSTART 12-11-2020 23:11:47 PSTOP , 2029
PSTART 12-11-2020 23:11:50 PSTOP , 36
PSTART 12-11-2020 23:11:51 PSTOP , 1716
PSTART 12-11-2020 23:11:53 PSTOP , 1357
PSTART 12-11-2020 23:11:54 PSTOP , 1487
PSTART 12-11-2020 23:11:56 PSTOP , 1825
PSTART 12-11-2020 23:11:58 PSTOP , 1713
PSTART 12-11-2020 23:11:59 PSTOP , 1240
PSTART 12-11-2020 23:12:01 PSTOP , 1999
PSTART 12-11-2020 23:12:04 PSTOP , 49
PSTART 12-11-2020 23:12:05 PSTOP , 1687
PSTART 12-11-2020 23:12:07 PSTOP , 1312
PSTART 12-11-2020 23:12:08 PSTOP , 1356
PSTART 12-11-2020 23:12:10 PSTOP , 2170
PSTART 12-11-2020 23:12:12 PSTOP , 1744
PSTART 12-11-2020 23:12:14 PSTOP , 2103
PSTART 12-11-2020 23:12:15 PSTOP , 1323
PSTART 12-11-2020 23:12:16 PSTOP , 1202
PSTART 12-11-2020 23:12:18 PSTOP , 2007
PSTART 12-11-2020 23:12:20 PSTOP , 1903
PSTART 12-11-2020 23:12:22 PSTOP , 1404
PSTART 12-11-2020 23:12:23 PSTOP , 1544
PSTART 12-11-2020 23:12:25 PSTOP , 1793
PSTART 12-11-2020 23:12:27 PSTOP , 1432
PSTART 12-11-2020 23:12:28 PSTOP , 1935
PSTART 12-11-2020 23:12:30 PSTOP , 1068
PSTART 12-11-2020 23:12:31 PSTOP , 1458
PSTART 12-11-2020 23:12:32 PSTOP , 1408
PSTART 12-11-2020 23:12:34 PSTOP , 1791
PSTART 12-11-2020 23:12:35 PSTOP , 1131
PSTART 12-11-2020 23:12:37 PSTOP , 1950
PSTART 12-11-2020 23:12:38 PSTOP , 990
PSTART 12-11-2020 23:12:40 PSTOP , 1746
PSTART 12-11-2020 23:12:42 PSTOP , 1588
PSTART 12-11-2020 23:12:44 PSTOP , 2174
PSTART 12-11-2020 23:12:46 PSTOP , 1766
PSTART 12-11-2020 23:12:48 PSTOP , 2027
PSTART 12-11-2020 23:12:49 PSTOP , 1758
PSTART 12-11-2020 23:12:52 PSTOP , 2356
PSTART 12-11-2020 23:12:53 PSTOP , 1362
PSTART 12-11-2020 23:12:54 PSTOP , 1240
